feature,model_coefficient,odds_ratio_per_model_unit
numeric__fico_score,-0.6593637684684598,0.5171802762382811
numeric__ltv,0.44160224295155054,1.55519702681427
categorical__loan_purpose_purchase,-0.37334331094308554,0.6884288471126239
numeric__prior_delinquency,0.29544693713417125,1.3437267858984718
categorical__occupancy_status_owner,-0.28603620527052764,0.7512354167730181
categorical__loan_purpose_rate_term_refi,-0.24883501426711926,0.7797086035687293
numeric__unemployment_rate,0.178664651580084,1.19561972774501
numeric__dti,0.16593757229148037,1.1804994035502234
categorical__occupancy_status_second_home,-0.12268208839134827,0.884544824934281
numeric__rate_spread,0.11390005773343888,1.1206401199736444
numeric__loan_amount,0.07140688889763075,1.0740181430322115
numeric__hpi_yoy_change,-0.04677337194676325,0.954303645062851
categorical__state_WI,-0.03790050455299585,0.9628087312108615
categorical__state_OTHER,-0.00666535159235287,0.9933568125922041
